username,comment,
@Namadepan.A,"Pak mahfud tolonglah pak Rakyat Indonesia ini lagi susah payah cari uang, ini malah gaji anggota DPR malah di naikan,",
@dinayasmin2571,Bapak org yg paling terus terang. Semoga sehat selalu pak mahfud,
@DariusDraxist,Hebat Prof Mahfud,
@muhammadyunus6121,Korupsi tdk ada hubungannya gaji besar atau orang kaya dan miskin tetapi berhubungan dgn iman,
@teriskarahardjo3337,"1. setuju menciutkan jumlah partai maksimal hanya 5 saja, 2 membubarkan atau menciutkan jumlah anggota DPR sesuai dg jumlah partai yg ada ( anggota nya yg berpendidikan dan di tes sesuai kompetensi)  3.  Kementrian di kurangi hanya sp dg 30 kementrian ( sebaiknya di gunakan fish bone effect). Jadi gunakan orang2 yg pandai dalam menyusun kabinet dan sistem pemerintahan.",
@awabrichanel4361,Hormat untuk prof.mahmud .terimakasih atas infonya tentang DPR,
@taufantastis,gasik prof...,
@hendrahen4593,dpr  tdk peka dgn keadaan rakyat saat ini,
@Mujiono_KCR,Terimakasih Pak Mahwud MD Papak telah memberikan pencerahan buat kami orang awam. semoga para pejabat mendengarkan pencerahan Bapak. Sukses selalu Pak Mahwud MD. Sehat selalu. Amin,
@rkiidar5294,terimakasih saudara2 yg sdh demo di jakarta yg sdh mewakili kita2 yg di kampung.,
@HancePasaribu,"Wahai para demonstran,,kami memang tidak ikut,tapi kami berdoa untuk semua kalian.karena kalian pejuang,demi kepentingan rakyat kalian berjuang mati-matian.",
@Ahmadmubarok-k6s,"Katanya masyarakat  sudah cerdas,,,,kalau cerdas jangan pilih lagi yg namanya DPR",
@Rizkiy909,"Tuntutan rakyat bukan hanya menghapus uang tunjangan anggota dpr saja, tapi juga menghapus dpr dari negri indonesia",
@fizhchannel,RAKYAT INDONESIA KECEWA BERAT PADA DPR,
@hendragunna,TOLONG KOMPAS TV UNDANG EKO PATRIO DAN UYA KUYA UNTUK MENJELASKAN PENDAPATNYA. TOLONG LIKE AGAR BISA DILIAT OLEH PIHAK KOMPAS TV.,
@AlfinAlfinfamiliy,"Rakyat Sudah Tidak Percaya Lagi Sama DPR Rampok Haq2 Rakyat,, Saya Gaq Akan Pernah Pilih YG Nama Nya DPR Lagi SE umur Hidup Saya,",
@siuslao4404,Diharapkan pemerintah menerima tuntutan Pendemo dan melaksanakannya tuntutan segera SAHKAN UU PERAMPASAN  KEKAYAAN PARA KORUPTOR,
@yundrizamrudi4747,tahun 2029 udah tidak usah milih DPR dan DPRD rakyat dari Sabang sampai Merauke,
@adityaananda1994,uu perampasan harta koruptor yg perlu kan rakyat sekarang,
@dewawang3337,"Hapus tunjangan DPR, Hapus segala Fasilitas, Turunkan gaji DPR menjadi UMR dengan begitu DPR dapat merasakan apa yang dirasakan masyarakat bawah sehingga mereka bisa membuat aturan yang menguntungkan bagi seluruh rakyat indonesia",
@Ningsih-l8o1l,"Terimakasih  anak 2 Bangsa yg sudah  berjuang untuk rakyat
 Kecil  
Rakyat kecil LG padA sulit cari uang  karna PT bnyak PD tutup
JD pengangguran bnyk
Buka  loker dong",
@Alimuddin77-ou4wu,Anggota DPR tidak mewakili rakyat hanya mementingkan pribadi dan partainya,
@SamSi-b2q,Semangat terus pejuang rakyat melawan penindas penindas rakyat !!!,
